,confirmed,confirmed_daily,confirmed_ma_7,confirmed_ma_14,suspects,suspects_ma_7,suspects_ma_14,hospitalized,hospitalized_daily,hospitalized_ma_7,hospitalized_ma_14,deaths,deaths_daily ,deaths_ma_7,deaths_ma_14
2020-03-15,0,,,,1,,,1,,,,0,,,
2020-03-16,0,0.0,,,3,,,2,1.0,,,0,0.0,,
2020-03-17,0,0.0,,,2,,,2,0.0,,,0,0.0,,
2020-03-18,1,1.0,,,2,,,2,0.0,,,0,0.0,,
2020-03-19,1,0.0,,,3,,,2,0.0,,,0,0.0,,
2020-03-20,1,0.0,,,6,,,2,0.0,,,0,0.0,,
2020-03-21,2,1.0,,,3,2.857142857142857,,2,0.0,,,0,0.0,,
2020-03-22,2,0.0,0.2857142857142857,,4,3.2857142857142856,,2,0.0,0.14285714285714285,,0,0.0,0.0,
2020-03-23,2,0.0,0.2857142857142857,,5,3.5714285714285716,,2,0.0,0.0,,0,0.0,0.0,
2020-03-24,2,0.0,0.2857142857142857,,9,4.571428571428571,,3,1.0,0.14285714285714285,,0,0.0,0.0,
2020-03-25,2,0.0,0.14285714285714285,,9,5.571428571428571,,3,0.0,0.14285714285714285,,0,0.0,0.0,
2020-03-26,2,0.0,0.14285714285714285,,11,6.714285714285714,,3,0.0,0.14285714285714285,,0,0.0,0.0,
2020-03-27,2,0.0,0.14285714285714285,,14,7.857142857142857,,3,0.0,0.14285714285714285,,0,0.0,0.0,
2020-03-28,2,0.0,0.0,,13,9.285714285714286,6.071428571428571,3,0.0,0.14285714285714285,,0,0.0,0.0,
2020-03-29,2,0.0,0.0,0.14285714285714285,11,10.285714285714286,6.785714285714286,3,0.0,0.14285714285714285,0.14285714285714285,0,0.0,0.0,0.0
2020-03-30,2,0.0,0.0,0.14285714285714285,11,11.142857142857142,7.357142857142857,4,1.0,0.2857142857142857,0.14285714285714285,0,0.0,0.0,0.0
2020-03-31,2,0.0,0.0,0.14285714285714285,8,11.0,7.785714285714286,5,1.0,0.2857142857142857,0.21428571428571427,0,0.0,0.0,0.0
2020-04-01,3,1.0,0.14285714285714285,0.14285714285714285,9,11.0,8.285714285714286,7,2.0,0.5714285714285714,0.35714285714285715,0,0.0,0.0,0.0
2020-04-02,3,0.0,0.14285714285714285,0.14285714285714285,12,11.142857142857142,8.928571428571429,7,0.0,0.5714285714285714,0.35714285714285715,0,0.0,0.0,0.0
2020-04-03,4,1.0,0.2857142857142857,0.21428571428571427,16,11.428571428571429,9.642857142857142,7,0.0,0.5714285714285714,0.35714285714285715,0,0.0,0.0,0.0
2020-04-04,4,0.0,0.2857142857142857,0.14285714285714285,20,12.428571428571429,10.857142857142858,7,0.0,0.5714285714285714,0.35714285714285715,0,0.0,0.0,0.0
2020-04-05,4,0.0,0.2857142857142857,0.14285714285714285,19,13.571428571428571,11.928571428571429,7,0.0,0.5714285714285714,0.35714285714285715,0,0.0,0.0,0.0
2020-04-06,4,0.0,0.2857142857142857,0.14285714285714285,22,15.142857142857142,13.142857142857142,7,0.0,0.42857142857142855,0.35714285714285715,0,0.0,0.0,0.0
2020-04-07,5,1.0,0.42857142857142855,0.21428571428571427,19,16.714285714285715,13.857142857142858,7,0.0,0.2857142857142857,0.2857142857142857,0,0.0,0.0,0.0
2020-04-08,7,2.0,0.5714285714285714,0.35714285714285715,30,19.714285714285715,15.357142857142858,7,0.0,0.0,0.2857142857142857,0,0.0,0.0,0.0
2020-04-09,7,0.0,0.5714285714285714,0.35714285714285715,30,22.285714285714285,16.714285714285715,7,0.0,0.0,0.2857142857142857,0,0.0,0.0,0.0
2020-04-10,7,0.0,0.42857142857142855,0.35714285714285715,24,23.428571428571427,17.428571428571427,7,0.0,0.0,0.2857142857142857,0,0.0,0.0,0.0
2020-04-11,7,0.0,0.42857142857142855,0.35714285714285715,22,23.714285714285715,18.071428571428573,7,0.0,0.0,0.2857142857142857,0,0.0,0.0,0.0
2020-04-12,7,0.0,0.42857142857142855,0.35714285714285715,25,24.571428571428573,19.071428571428573,9,2.0,0.2857142857142857,0.42857142857142855,0,0.0,0.0,0.0
2020-04-13,7,0.0,0.42857142857142855,0.35714285714285715,32,26.0,20.571428571428573,9,0.0,0.2857142857142857,0.35714285714285715,1,1.0,0.14285714285714285,0.07142857142857142
2020-04-14,7,0.0,0.2857142857142857,0.35714285714285715,26,27.0,21.857142857142858,9,0.0,0.2857142857142857,0.2857142857142857,1,0.0,0.14285714285714285,0.07142857142857142
2020-04-15,7,0.0,0.0,0.2857142857142857,32,27.285714285714285,23.5,10,1.0,0.42857142857142855,0.21428571428571427,1,0.0,0.14285714285714285,0.07142857142857142
2020-04-16,7,0.0,0.0,0.2857142857142857,30,27.285714285714285,24.785714285714285,12,2.0,0.7142857142857143,0.35714285714285715,2,1.0,0.2857142857142857,0.14285714285714285
2020-04-17,9,2.0,0.2857142857142857,0.35714285714285715,27,27.714285714285715,25.571428571428573,14,2.0,1.0,0.5,2,0.0,0.2857142857142857,0.14285714285714285
2020-04-18,10,1.0,0.42857142857142855,0.42857142857142855,21,27.571428571428573,25.642857142857142,15,1.0,1.1428571428571428,0.5714285714285714,2,0.0,0.2857142857142857,0.14285714285714285
2020-04-19,11,1.0,0.5714285714285714,0.5,20,26.857142857142858,25.714285714285715,16,1.0,1.0,0.6428571428571429,2,0.0,0.2857142857142857,0.14285714285714285
2020-04-20,11,0.0,0.5714285714285714,0.5,20,25.142857142857142,25.571428571428573,17,1.0,1.1428571428571428,0.7142857142857143,2,0.0,0.14285714285714285,0.14285714285714285
2020-04-21,14,3.0,1.0,0.6428571428571429,12,23.142857142857142,25.071428571428573,18,1.0,1.2857142857142858,0.7857142857142857,2,0.0,0.14285714285714285,0.14285714285714285
2020-04-22,14,0.0,1.0,0.5,13,20.428571428571427,23.857142857142858,19,1.0,1.2857142857142858,0.8571428571428571,2,0.0,0.14285714285714285,0.14285714285714285
2020-04-23,15,1.0,1.1428571428571428,0.5714285714285714,9,17.428571428571427,22.357142857142858,22,3.0,1.4285714285714286,1.0714285714285714,2,0.0,0.0,0.14285714285714285
2020-04-24,15,0.0,0.8571428571428571,0.5714285714285714,6,14.428571428571429,21.071428571428573,24,2.0,1.4285714285714286,1.2142857142857142,2,0.0,0.0,0.14285714285714285
2020-04-25,16,1.0,0.8571428571428571,0.6428571428571429,7,12.428571428571429,20.0,25,1.0,1.4285714285714286,1.2857142857142858,2,0.0,0.0,0.14285714285714285
2020-04-26,18,2.0,1.0,0.7857142857142857,10,11.0,18.928571428571427,25,0.0,1.2857142857142858,1.1428571428571428,3,1.0,0.14285714285714285,0.21428571428571427
2020-04-27,23,5.0,1.7142857142857142,1.1428571428571428,11,9.714285714285714,17.428571428571427,27,2.0,1.4285714285714286,1.2857142857142858,3,0.0,0.14285714285714285,0.14285714285714285
2020-04-28,25,2.0,1.5714285714285714,1.2857142857142858,11,9.571428571428571,16.357142857142858,27,0.0,1.2857142857142858,1.2857142857142858,3,0.0,0.14285714285714285,0.14285714285714285
2020-04-29,25,0.0,1.5714285714285714,1.2857142857142858,16,10.0,15.214285714285714,27,0.0,1.1428571428571428,1.2142857142857142,3,0.0,0.14285714285714285,0.14285714285714285
2020-04-30,26,1.0,1.5714285714285714,1.3571428571428572,20,11.571428571428571,14.5,30,3.0,1.1428571428571428,1.2857142857142858,3,0.0,0.14285714285714285,0.07142857142857142
2020-05-01,27,1.0,1.7142857142857142,1.2857142857142858,16,13.0,13.714285714285714,30,0.0,0.8571428571428571,1.1428571428571428,3,0.0,0.14285714285714285,0.07142857142857142
2020-05-02,28,1.0,1.7142857142857142,1.2857142857142858,12,13.714285714285714,13.071428571428571,30,0.0,0.7142857142857143,1.0714285714285714,4,1.0,0.2857142857142857,0.14285714285714285
2020-05-03,28,0.0,1.4285714285714286,1.2142857142857142,21,15.285714285714286,13.142857142857142,32,2.0,1.0,1.1428571428571428,4,0.0,0.14285714285714285,0.14285714285714285
2020-05-04,28,0.0,0.7142857142857143,1.2142857142857142,23,17.0,13.357142857142858,33,1.0,0.8571428571428571,1.1428571428571428,6,2.0,0.42857142857142855,0.2857142857142857
2020-05-05,29,1.0,0.5714285714285714,1.0714285714285714,25,19.0,14.285714285714286,37,4.0,1.4285714285714286,1.3571428571428572,7,1.0,0.5714285714285714,0.35714285714285715
2020-05-06,29,0.0,0.5714285714285714,1.0714285714285714,41,22.571428571428573,16.285714285714285,38,1.0,1.5714285714285714,1.3571428571428572,7,0.0,0.5714285714285714,0.35714285714285715
2020-05-07,33,4.0,1.0,1.2857142857142858,45,26.142857142857142,18.857142857142858,40,2.0,1.4285714285714286,1.2857142857142858,7,0.0,0.5714285714285714,0.35714285714285715
2020-05-08,36,3.0,1.2857142857142858,1.5,20,26.714285714285715,19.857142857142858,42,2.0,1.7142857142857142,1.2857142857142858,7,0.0,0.5714285714285714,0.35714285714285715
2020-05-09,36,0.0,1.1428571428571428,1.4285714285714286,24,28.428571428571427,21.071428571428573,45,3.0,2.142857142857143,1.4285714285714286,7,0.0,0.42857142857142855,0.35714285714285715
2020-05-10,39,3.0,1.5714285714285714,1.5,16,27.714285714285715,21.5,46,1.0,2.0,1.5,7,0.0,0.42857142857142855,0.2857142857142857
2020-05-11,40,1.0,1.7142857142857142,1.2142857142857142,20,27.285714285714285,22.142857142857142,48,2.0,2.142857142857143,1.5,8,1.0,0.2857142857142857,0.35714285714285715
2020-05-12,41,1.0,1.7142857142857142,1.1428571428571428,28,27.714285714285715,23.357142857142858,55,7.0,2.5714285714285716,2.0,8,0.0,0.14285714285714285,0.35714285714285715
2020-05-13,41,0.0,1.7142857142857142,1.1428571428571428,35,26.857142857142858,24.714285714285715,59,4.0,3.0,2.2857142857142856,8,0.0,0.14285714285714285,0.35714285714285715
2020-05-14,50,9.0,2.4285714285714284,1.7142857142857142,35,25.428571428571427,25.785714285714285,71,12.0,4.428571428571429,2.9285714285714284,8,0.0,0.14285714285714285,0.35714285714285715
2020-05-15,54,4.0,2.5714285714285716,1.9285714285714286,41,28.428571428571427,27.571428571428573,74,3.0,4.571428571428571,3.142857142857143,9,1.0,0.2857142857142857,0.42857142857142855
2020-05-16,59,5.0,3.2857142857142856,2.2142857142857144,46,31.571428571428573,30.0,76,2.0,4.428571428571429,3.2857142857142856,10,1.0,0.42857142857142855,0.42857142857142855
2020-05-17,67,8.0,4.0,2.7857142857142856,31,33.714285714285715,30.714285714285715,81,5.0,5.0,3.5,10,0.0,0.42857142857142855,0.42857142857142855
2020-05-18,72,5.0,4.571428571428571,3.142857142857143,38,36.285714285714285,31.785714285714285,88,7.0,5.714285714285714,3.9285714285714284,11,1.0,0.42857142857142855,0.35714285714285715
2020-05-19,74,2.0,4.714285714285714,3.2142857142857144,50,39.42857142857143,33.57142857142857,96,8.0,5.857142857142857,4.214285714285714,11,0.0,0.42857142857142855,0.2857142857142857
2020-05-20,78,4.0,5.285714285714286,3.5,59,42.857142857142854,34.857142857142854,104,8.0,6.428571428571429,4.714285714285714,13,2.0,0.7142857142857143,0.42857142857142855
2020-05-21,86,8.0,5.142857142857143,3.7857142857142856,53,45.42857142857143,35.42857142857143,108,4.0,5.285714285714286,4.857142857142857,15,2.0,1.0,0.5714285714285714
2020-05-22,92,6.0,5.428571428571429,4.0,59,48.0,38.214285714285715,116,8.0,6.0,5.285714285714286,16,1.0,1.0,0.6428571428571429
2020-05-23,95,3.0,5.142857142857143,4.214285714285714,53,49.0,40.285714285714285,120,4.0,6.285714285714286,5.357142857142857,16,0.0,0.8571428571428571,0.6428571428571429
2020-05-24,108,13.0,5.857142857142857,4.928571428571429,29,48.714285714285715,41.214285714285715,126,6.0,6.428571428571429,5.714285714285714,21,5.0,1.5714285714285714,1.0
2020-05-25,111,3.0,5.571428571428571,5.071428571428571,38,48.714285714285715,42.5,133,7.0,6.428571428571429,6.071428571428571,21,0.0,1.4285714285714286,0.9285714285714286
2020-05-26,114,3.0,5.714285714285714,5.214285714285714,45,48.0,43.714285714285715,140,7.0,6.285714285714286,6.071428571428571,23,2.0,1.7142857142857142,1.0714285714285714
2020-05-27,125,11.0,6.714285714285714,6.0,38,45.0,43.92857142857143,145,5.0,5.857142857142857,6.142857142857143,24,1.0,1.5714285714285714,1.1428571428571428
2020-05-28,132,7.0,6.571428571428571,5.857142857142857,36,42.57142857142857,44.0,150,5.0,6.0,5.642857142857143,24,0.0,1.2857142857142858,1.1428571428571428
2020-05-29,133,1.0,5.857142857142857,5.642857142857143,44,40.42857142857143,44.214285714285715,157,7.0,5.857142857142857,5.928571428571429,25,1.0,1.2857142857142858,1.1428571428571428
2020-05-30,137,4.0,6.0,5.571428571428571,45,39.285714285714285,44.142857142857146,163,6.0,6.142857142857143,6.214285714285714,25,0.0,1.2857142857142858,1.0714285714285714
2020-05-31,146,9.0,5.428571428571429,5.642857142857143,40,40.857142857142854,44.785714285714285,169,6.0,6.142857142857143,6.285714285714286,27,2.0,0.8571428571428571,1.2142857142857142
2020-06-01,149,3.0,5.428571428571429,5.5,51,42.714285714285715,45.714285714285715,181,12.0,6.857142857142857,6.642857142857143,28,1.0,1.0,1.2142857142857142
2020-06-02,154,5.0,5.714285714285714,5.714285714285714,64,45.42857142857143,46.714285714285715,194,13.0,7.714285714285714,7.0,28,0.0,0.7142857142857143,1.2142857142857142
2020-06-03,167,13.0,6.0,6.357142857142857,63,49.0,47.0,205,11.0,8.571428571428571,7.214285714285714,29,1.0,0.7142857142857143,1.1428571428571428
2020-06-04,178,11.0,6.571428571428571,6.571428571428571,65,53.142857142857146,47.857142857142854,214,9.0,9.142857142857142,7.571428571428571,29,0.0,0.7142857142857143,1.0
2020-06-05,193,15.0,8.571428571428571,7.214285714285714,64,56.0,48.214285714285715,226,12.0,9.857142857142858,7.857142857142857,30,1.0,0.7142857142857143,1.0
2020-06-06,202,9.0,9.285714285714286,7.642857142857143,67,59.142857142857146,49.214285714285715,237,11.0,10.571428571428571,8.357142857142858,32,2.0,1.0,1.1428571428571428
2020-06-07,211,9.0,9.285714285714286,7.357142857142857,55,61.285714285714285,51.07142857142857,241,4.0,10.285714285714286,8.214285714285714,34,2.0,1.0,0.9285714285714286
2020-06-08,214,3.0,9.285714285714286,7.357142857142857,69,63.857142857142854,53.285714285714285,255,14.0,10.571428571428571,8.714285714285714,35,1.0,1.0,1.0
2020-06-09,222,8.0,9.714285714285714,7.714285714285714,82,66.42857142857143,55.92857142857143,271,16.0,11.0,9.357142857142858,35,0.0,1.0,0.8571428571428571
2020-06-10,238,16.0,10.142857142857142,8.071428571428571,76,68.28571428571429,58.642857142857146,283,12.0,11.142857142857142,9.857142857142858,37,2.0,1.1428571428571428,0.9285714285714286
2020-06-11,250,12.0,10.285714285714286,8.428571428571429,78,70.14285714285714,61.642857142857146,300,17.0,12.285714285714286,10.714285714285714,38,1.0,1.2857142857142858,1.0
2020-06-12,262,12.0,9.857142857142858,9.214285714285714,92,74.14285714285714,65.07142857142857,315,15.0,12.714285714285714,11.285714285714286,39,1.0,1.2857142857142858,1.0
2020-06-13,274,12.0,10.285714285714286,9.785714285714286,80,76.0,67.57142857142857,326,11.0,12.714285714285714,11.642857142857142,40,1.0,1.1428571428571428,1.0714285714285714
2020-06-14,291,17.0,11.428571428571429,10.357142857142858,70,78.14285714285714,69.71428571428571,334,8.0,13.285714285714286,11.785714285714286,42,2.0,1.1428571428571428,1.0714285714285714
2020-06-15,299,8.0,12.142857142857142,10.714285714285714,82,80.0,71.92857142857143,349,15.0,13.428571428571429,12.0,44,2.0,1.2857142857142858,1.1428571428571428
2020-06-16,309,10.0,12.428571428571429,11.071428571428571,93,81.57142857142857,74.0,375,26.0,14.857142857142858,12.928571428571429,47,3.0,1.7142857142857142,1.3571428571428572
2020-06-17,326,17.0,12.571428571428571,11.357142857142858,98,84.71428571428571,76.5,392,17.0,15.571428571428571,13.357142857142858,49,2.0,1.7142857142857142,1.4285714285714286
2020-06-18,342,16.0,13.142857142857142,11.714285714285714,113,89.71428571428571,79.92857142857143,410,18.0,15.714285714285714,14.0,52,3.0,2.0,1.6428571428571428
2020-06-19,356,14.0,13.428571428571429,11.642857142857142,124,94.28571428571429,84.21428571428571,438,28.0,17.571428571428573,15.142857142857142,54,2.0,2.142857142857143,1.7142857142857142
2020-06-20,367,11.0,13.285714285714286,11.785714285714286,113,99.0,87.5,448,10.0,17.428571428571427,15.071428571428571,58,4.0,2.5714285714285716,1.8571428571428572
2020-06-21,389,22.0,14.0,12.714285714285714,91,102.0,90.07142857142857,465,17.0,18.714285714285715,16.0,61,3.0,2.7142857142857144,1.9285714285714286
2020-06-22,406,17.0,15.285714285714286,13.714285714285714,97,104.14285714285714,92.07142857142857,486,21.0,19.571428571428573,16.5,63,2.0,2.7142857142857144,2.0
2020-06-23,434,28.0,17.857142857142858,15.142857142857142,99,105.0,93.28571428571429,512,26.0,19.571428571428573,17.214285714285715,67,4.0,2.857142857142857,2.2857142857142856
2020-06-24,445,11.0,17.0,14.785714285714286,124,108.71428571428571,96.71428571428571,533,21.0,20.142857142857142,17.857142857142858,68,1.0,2.7142857142857144,2.2142857142857144
2020-06-25,466,21.0,17.714285714285715,15.428571428571429,117,109.28571428571429,99.5,559,26.0,21.285714285714285,18.5,73,5.0,3.0,2.5
2020-06-26,492,26.0,19.428571428571427,16.428571428571427,115,108.0,101.14285714285714,590,31.0,21.714285714285715,19.642857142857142,76,3.0,3.142857142857143,2.642857142857143
2020-06-27,511,19.0,20.571428571428573,16.928571428571427,111,107.71428571428571,103.35714285714286,607,17.0,22.714285714285715,20.071428571428573,80,4.0,3.142857142857143,2.857142857142857
2020-06-28,540,29.0,21.571428571428573,17.785714285714285,103,109.42857142857143,105.71428571428571,622,15.0,22.428571428571427,20.571428571428573,82,2.0,3.0,2.857142857142857
2020-06-29,553,13.0,21.0,18.142857142857142,122,113.0,108.57142857142857,642,20.0,22.285714285714285,20.928571428571427,82,0.0,2.7142857142857144,2.7142857142857144
2020-06-30,563,10.0,18.428571428571427,18.142857142857142,134,118.0,111.5,665,23.0,21.857142857142858,20.714285714285715,85,3.0,2.5714285714285716,2.7142857142857144
2020-07-01,591,28.0,20.857142857142858,18.928571428571427,148,121.42857142857143,115.07142857142857,701,36.0,24.0,22.071428571428573,88,3.0,2.857142857142857,2.7857142857142856
2020-07-02,619,28.0,21.857142857142858,19.785714285714285,155,126.85714285714286,118.07142857142857,719,18.0,22.857142857142858,22.071428571428573,90,2.0,2.4285714285714284,2.7142857142857144
2020-07-03,659,40.0,23.857142857142858,21.642857142857142,131,129.14285714285714,118.57142857142857,753,34.0,23.285714285714285,22.5,90,0.0,2.0,2.5714285714285716
2020-07-04,681,22.0,24.285714285714285,22.428571428571427,100,127.57142857142857,117.64285714285714,766,13.0,22.714285714285715,22.714285714285715,92,2.0,1.7142857142857142,2.4285714285714284
2020-07-05,709,28.0,24.142857142857142,22.857142857142858,85,125.0,117.21428571428571,780,14.0,22.571428571428573,22.5,94,2.0,1.7142857142857142,2.357142857142857
2020-07-06,732,23.0,25.571428571428573,23.285714285714285,90,120.42857142857143,116.71428571428571,813,33.0,24.428571428571427,23.357142857142858,97,3.0,2.142857142857143,2.4285714285714284
2020-07-07,743,11.0,25.714285714285715,22.071428571428573,137,120.85714285714286,119.42857142857143,850,37.0,26.428571428571427,24.142857142857142,97,0.0,1.7142857142857142,2.142857142857143
2020-07-08,774,31.0,26.142857142857142,23.5,136,119.14285714285714,120.28571428571429,886,36.0,26.428571428571427,25.214285714285715,100,3.0,1.7142857142857142,2.2857142857142856
2020-07-09,793,19.0,24.857142857142858,23.357142857142858,177,122.28571428571429,124.57142857142857,924,38.0,29.285714285714285,26.071428571428573,104,4.0,2.0,2.2142857142857144
2020-07-10,840,47.0,25.857142857142858,24.857142857142858,172,128.14285714285714,128.64285714285714,982,58.0,32.714285714285715,28.0,108,4.0,2.5714285714285716,2.2857142857142856
2020-07-11,876,36.0,27.857142857142858,26.071428571428573,149,135.14285714285714,131.35714285714286,1010,28.0,34.857142857142854,28.785714285714285,119,11.0,3.857142857142857,2.7857142857142856
2020-07-12,917,41.0,29.714285714285715,26.928571428571427,144,143.57142857142858,134.28571428571428,1034,24.0,36.285714285714285,29.428571428571427,125,6.0,4.428571428571429,3.0714285714285716
2020-07-13,948,31.0,30.857142857142858,28.214285714285715,152,152.42857142857142,136.42857142857142,1096,62.0,40.42857142857143,32.42857142857143,132,7.0,5.0,3.5714285714285716
2020-07-14,957,9.0,30.571428571428573,28.142857142857142,207,162.42857142857142,141.64285714285714,1156,60.0,43.714285714285715,35.07142857142857,136,4.0,5.571428571428571,3.642857142857143
2020-07-15,1000,43.0,32.285714285714285,29.214285714285715,230,175.85714285714286,147.5,1206,50.0,45.714285714285715,36.07142857142857,142,6.0,6.0,3.857142857142857
2020-07-16,1071,71.0,39.714285714285715,32.285714285714285,191,177.85714285714286,150.07142857142858,1280,74.0,50.857142857142854,40.07142857142857,147,5.0,6.142857142857143,4.071428571428571
2020-07-17,1124,53.0,40.57142857142857,33.214285714285715,188,180.14285714285714,154.14285714285714,1332,52.0,50.0,41.357142857142854,154,7.0,6.571428571428571,4.571428571428571
2020-07-18,1192,68.0,45.142857142857146,36.5,169,183.0,159.07142857142858,1376,44.0,52.285714285714285,43.57142857142857,156,2.0,5.285714285714286,4.571428571428571
2020-07-19,1232,40.0,45.0,37.357142857142854,170,186.71428571428572,165.14285714285714,1415,39.0,54.42857142857143,45.357142857142854,159,3.0,4.857142857142857,4.642857142857143
2020-07-20,1256,24.0,44.0,37.42857142857143,202,193.85714285714286,173.14285714285714,1480,65.0,54.857142857142854,47.642857142857146,164,5.0,4.571428571428571,4.785714285714286
2020-07-21,1275,19.0,45.42857142857143,38.0,262,201.71428571428572,182.07142857142858,1546,66.0,55.714285714285715,49.714285714285715,172,8.0,5.142857142857143,5.357142857142857
2020-07-22,1314,39.0,44.857142857142854,38.57142857142857,303,212.14285714285714,194.0,1628,82.0,60.285714285714285,53.0,181,9.0,5.571428571428571,5.785714285714286
2020-07-23,1343,29.0,38.857142857142854,39.285714285714285,380,239.14285714285714,208.5,1703,75.0,60.42857142857143,55.642857142857146,183,2.0,5.142857142857143,5.642857142857143
2020-07-24,1460,117.0,48.0,44.285714285714285,330,259.42857142857144,219.78571428571428,1769,66.0,62.42857142857143,56.214285714285715,193,10.0,5.571428571428571,6.071428571428571
2020-07-25,1560,100.0,52.57142857142857,48.857142857142854,272,274.14285714285717,228.57142857142858,1811,42.0,62.142857142857146,57.214285714285715,198,5.0,6.0,5.642857142857143
2020-07-26,1607,47.0,53.57142857142857,49.285714285714285,279,289.7142857142857,238.21428571428572,1853,42.0,62.57142857142857,58.5,202,4.0,6.142857142857143,5.5
2020-07-27,1641,34.0,55.0,49.5,277,300.42857142857144,247.14285714285714,1907,54.0,61.0,57.92857142857143,210,8.0,6.571428571428571,5.571428571428571
2020-07-28,1686,45.0,58.714285714285715,52.07142857142857,306,306.7142857142857,254.21428571428572,1980,73.0,62.0,58.857142857142854,215,5.0,6.142857142857143,5.642857142857143
2020-07-29,1720,34.0,58.0,51.42857142857143,335,311.2857142857143,261.7142857142857,2035,55.0,58.142857142857146,59.214285714285715,218,3.0,5.285714285714286,5.428571428571429
2020-07-30,1788,68.0,63.57142857142857,51.214285714285715,306,300.7142857142857,269.92857142857144,2102,67.0,57.0,58.714285714285715,226,8.0,6.142857142857143,5.642857142857143
